periode,side,n,wr,pf,pf_ci_lo,pf_ci_hi,pnl_usd,avg_r,sharpe_monthly_ann,max_dd_pct
2019-2023,Long,821,0.4238733252131547,0.8087183886549539,0.6577431471730463,0.9849631546917657,-2142.75,-0.05231546894031669,-0.9826215683123835,-0.22445084419226197
2019-2023,Short,796,0.38944723618090454,0.5612843749677422,0.4582354731266414,0.683225076803973,-5525.110000000001,-0.11070351758793968,-2.2211316614667878,-0.5637876677904015
2019-2023,BOTH,1617,0.4069264069264069,0.6777654974176224,0.5882035121928615,0.7780795827338396,-7667.860000000001,-0.08105813234384661,-2.3939024781119116,-0.7792558578568575
2024-2026,Long,419,0.5513126491646778,1.545046832977835,1.2079811796147308,1.9915865776500523,1469.3100000000002,0.12789021479713603,2.208531399472547,-0.015559489336417265
2024-2026,Short,327,0.4740061162079511,0.9827904027910626,0.7211617641036919,1.2990785016097044,-46.96000000000006,0.003244648318042813,-0.028399442488737433,-0.04201497441207509
2024-2026,BOTH,746,0.517426273458445,1.2622104320061356,1.048686315271849,1.522921757588892,1422.35,0.07325335120643432,1.7480941020729235,-0.025880730729822728
FULL,Long,1240,0.4669354838709677,0.9515434794809546,0.8092958791582766,1.1141146294261457,-673.4399999999996,0.008576612903225813,-0.15914916371424864,-0.22445084419226197
FULL,Short,1123,0.41406945681211044,0.6363481511550958,0.5399916193143732,0.7522469212639832,-5572.070000000001,-0.07752359750667853,-1.5884712559520562,-0.5930815823402156
FULL,BOTH,2363,0.44181125687685147,0.7862617024567802,0.7007643340387532,0.8793863981168629,-6245.51,-0.032341938214134565,-0.8596952476346879,-0.7792558578568575
