timeout_bars,n_trades,wr,pf,pf_ci95_lo,pf_ci95_hi,sharpe,sortino,max_dd_pct,max_dd_usd,expectancy_r,final_capital,return_pct,n_timeout,n_sl,n_tp,n_opp
12,2734,0.4334308705193855,0.679558162753556,0.6076352187287645,0.7603148795449035,-1.2794494031318222,-2.0860448128101616,-0.9003184052895715,-9051.279067843949,-0.060837704668665414,1809.9236604529794,-0.8190076339547021,2075,392,108,159
18,2523,0.4292508917954816,0.7363701884425788,0.6568177208469819,0.8247274820546825,-1.208834626568375,-1.9139997933585537,-0.8293148325699701,-8301.698339706605,-0.050588312807257396,2556.348929834235,-0.7443651070165764,1850,344,110,219
24,2363,0.44181125687685147,0.7862614167085701,0.7018011631781924,0.8820115730756369,-0.8597034706368166,-1.3085765360219195,-0.779249359889885,-7809.655566559655,-0.03234245330332014,3754.484351313997,-0.6245515648686003,1634,314,113,302
30,2238,0.43386952636282394,0.8305897241386752,0.7417035381380753,0.9305689675776648,-0.6901479114922017,-1.1037630238607956,-0.746468136651041,-7510.44372364228,-0.022571778812244994,4783.403858035518,-0.5216596141964482,1459,284,114,381
36,2122,0.4288407163053723,0.897263699895386,0.7989943395483046,1.012553176775945,-0.3769519129225326,-0.6710214679883876,-0.6637372930248281,-6669.451564964873,-0.014028932819869801,6445.923816311745,-0.3554076183688255,1297,266,117,442
48,1918,0.4118873826903024,0.9157551632900645,0.8144242852114276,1.028441702926639,-0.2604930587316554,-0.5015636403085812,-0.643958065399874,-6464.107248558788,-0.011706085184510237,7187.624709945456,-0.2812375290054544,1003,246,121,548
64,1753,0.41015402167712495,1.0374198281722102,0.9165248200021245,1.1702633731797172,0.2737352800932147,0.4543584752402605,-0.48015716279704335,-5160.0774950772675,0.013323401784452831,11481.548466555576,0.14815484665555756,781,218,130,624
