segment,start,end,n_bars,n_trades,wr,pf,pf_ci95_lo,pf_ci95_hi,sharpe,sortino,max_dd_pct,max_dd_usd,expectancy_r,return_pct,final_capital
Train,2019-01-01,2022-12-31,94320,1285,0.4054474708171206,0.6739128152167976,0.5728887706959058,0.7807106952913077,-2.5626121488760143,-3.2064157191906415,-0.7085387190774769,-7100.991847267467,-0.08286737441167273,-0.6919179281802399,3080.820718197601
Test,2023-01-06,2024-12-31,46929,655,0.46412213740458014,0.956212007571788,0.7793401911637777,1.16537521649143,0.08169115306852777,0.18858330715614252,-0.26115666669700494,-2641.49026313833,-0.0007306850829559792,-0.06426253989366892,9357.374601063311
Holdout,2025-01-06,2026-04-29,30983,412,0.5194174757281553,1.278630990368221,1.0079696901278639,1.6305050116705877,2.419534417866825,11.044021857995036,-0.07911328828962415,-843.4041349733179,0.08370699870418462,0.3813013157703309,13813.01315770331
