signal_id,direction,entry_bar,exit_bar,entry_price,exit_price,stop_loss,take_profit,confluence_score,exit_reason,bars_held,pnl_price,pnl_price_raw,r_multiple,initial_risk,spread_cost,slippage_cost,commission,components,cmp_BOS,cmp_FVG,cmp_OrderBlock,cmp_Regime,cmp_News,cmp_Volume,cmp_Momentum,cmp_RSI_Divergence,cmp_HTF_Alignment
ecf39d6a62dc,SHORT,2026-02-01 23:30:00,2026-02-01 23:45:00,4774.9,4742.898499999999,4900.28,4461.43,59.20884483127501,regime_shifted,1,20.4354,32.0015,0.163,125.38,3.8071,7.7589,0.0,"{'BOS': 7.5, 'FVG': 0.0, 'OrderBlock': 10.0, 'Regime': 21.25, 'News': 0.0, 'Volume': 0.0, 'Momentum': 2.696, 'RSI_Divergence': 0.0, 'HTF_Alignment': 0.0}",7.5,0.0,10.0,21.25,0.0,0.0,2.696,0.0,0.0
2dfa266eebee,SHORT,2026-03-19 13:15:00,2026-03-19 13:30:00,4576.35,4559.155000000001,4645.18,4404.27,59.642857142857146,regime_shifted,1,11.7107,17.195,0.17,68.83,1.3703,4.114,0.0,"{'BOS': 7.5, 'FVG': 0.0, 'OrderBlock': 10.0, 'Regime': 21.25, 'News': 0.0, 'Volume': 0.0, 'Momentum': 3.0, 'RSI_Divergence': 0.0, 'HTF_Alignment': 0.0}",7.5,0.0,10.0,21.25,0.0,0.0,3.0,0.0,0.0
af2b3ab00196,SHORT,2026-03-23 07:00:00,2026-03-23 07:15:00,4130.8,4135.875,4214.19,3922.31,59.642857142857146,regime_shifted,1,-12.9558,-5.075,-0.155,83.39,3.3067,4.5741,0.0,"{'BOS': 7.5, 'FVG': 0.0, 'OrderBlock': 10.0, 'Regime': 21.25, 'News': 0.0, 'Volume': 0.0, 'Momentum': 3.0, 'RSI_Divergence': 0.0, 'HTF_Alignment': 0.0}",7.5,0.0,10.0,21.25,0.0,0.0,3.0,0.0,0.0
