signal_id,direction,entry_bar,exit_bar,entry_price,exit_price,stop_loss,take_profit,confluence_score,exit_reason,bars_held,pnl_price,pnl_price_raw,r_multiple,initial_risk,spread_cost,slippage_cost,commission,components,cmp_BOS,cmp_FVG,cmp_OrderBlock,cmp_Regime,cmp_News,cmp_Volume,cmp_Momentum,cmp_RSI_Divergence
f55cbe2720e3,SHORT,2025-04-06 21:00:00,2025-04-06 21:15:00,1.08839,1.089095,1.09214,1.0809,74.96502083578213,regime_shifted,1,-0.0024,-0.0007,-0.637,0.0038,0.0009,0.0008,0.0,"{'BOS': 12.75, 'FVG': 15.0, 'OrderBlock': 9.327, 'Regime': 12.5, 'News': 0.0, 'Volume': 0.0, 'Momentum': 2.899, 'RSI_Divergence': 0.0}",12.75,15.0,9.327,12.5,0.0,0.0,2.899,0.0
992cb816882c,LONG,2025-04-09 04:15:00,2025-04-09 04:30:00,1.10618,1.105835,1.10388,1.11079,61.785714285714285,regime_shifted,1,-0.0017,-0.0003,-0.761,0.0023,0.0009,0.0005,0.0,"{'BOS': 12.75, 'FVG': 15.0, 'OrderBlock': 0.0, 'Regime': 12.5, 'News': 0.0, 'Volume': 0.0, 'Momentum': 3.0, 'RSI_Divergence': 0.0}",12.75,15.0,0.0,12.5,0.0,0.0,3.0,0.0
e99e713a7efb,SHORT,2025-07-30 18:45:00,2025-07-30 19:30:00,1.14244,1.14251,1.14447,1.13837,61.27984236291525,score_decayed,3,-0.0011,-0.0001,-0.554,0.002,0.0006,0.0005,0.0,"{'BOS': 12.75, 'FVG': 14.646, 'OrderBlock': 0.0, 'Regime': 12.5, 'News': 0.0, 'Volume': 0.0, 'Momentum': 3.0, 'RSI_Divergence': 0.0}",12.75,14.646,0.0,12.5,0.0,0.0,3.0,0.0
