signal_id,direction,entry_bar,exit_bar,entry_price,exit_price,stop_loss,take_profit,confluence_score,exit_reason,bars_held,pnl_price,pnl_price_raw,r_multiple,initial_risk,spread_cost,slippage_cost,commission,components,cmp_BOS,cmp_FVG,cmp_OrderBlock,cmp_Regime,cmp_News,cmp_Volume,cmp_Momentum,cmp_RSI_Divergence
033622410411,SHORT,2025-04-22 22:00:00,2025-04-22 22:15:00,3335.41,3318.565,3364.43,3262.86,70.8341281162303,regime_shifted,1,12.6258,16.845,0.435,29.02,2.6616,1.5576,0.0,"{'BOS': 12.75, 'FVG': 15.0, 'OrderBlock': 3.773, 'Regime': 15.061, 'News': 0.0, 'Volume': 0.0, 'Momentum': 3.0, 'RSI_Divergence': 0.0}",12.75,15.0,3.773,15.061,0.0,0.0,3.0,0.0
15ffc5262a1d,LONG,2025-04-24 01:15:00,2025-04-24 01:45:00,3359.49,3357.6050000000005,3341.03,3405.64,65.0,regime_shifted,2,-5.6044,-1.885,-0.304,18.46,2.6868,1.0325,0.0,"{'BOS': 15.0, 'FVG': 15.0, 'OrderBlock': 0.0, 'Regime': 12.5, 'News': 0.0, 'Volume': 0.0, 'Momentum': 3.0, 'RSI_Divergence': 0.0}",15.0,15.0,0.0,12.5,0.0,0.0,3.0,0.0
8fedb912f354,SHORT,2026-01-29 15:15:00,2026-01-29 15:30:00,5190.69,5121.6025,5291.73,4938.07,65.0,regime_shifted,1,58.6012,69.0875,0.58,101.04,1.5468,8.9395,0.0,"{'BOS': 15.0, 'FVG': 15.0, 'OrderBlock': 0.0, 'Regime': 12.5, 'News': 0.0, 'Volume': 0.0, 'Momentum': 3.0, 'RSI_Divergence': 0.0}",15.0,15.0,0.0,12.5,0.0,0.0,3.0,0.0
d8a0d9365fd9,SHORT,2026-02-01 23:00:00,2026-02-01 23:15:00,4742.87,4729.958500000001,4868.42,4429.0,67.00409835015458,regime_shifted,1,-0.3334,12.9115,-0.003,125.55,3.7891,9.4558,0.0,"{'BOS': 7.5, 'FVG': 8.925, 'OrderBlock': 6.326, 'Regime': 21.25, 'News': 0.0, 'Volume': 0.0, 'Momentum': 2.901, 'RSI_Divergence': 0.0}",7.5,8.925,6.326,21.25,0.0,0.0,2.901,0.0
74190304ddb8,SHORT,2026-02-02 05:45:00,2026-02-02 06:00:00,4549.62,4535.8235,4668.41,4252.63,66.78571428571429,regime_shifted,1,1.5589,13.7965,0.013,118.79,3.6342,8.6034,0.0,"{'BOS': 7.5, 'FVG': 15.0, 'OrderBlock': 0.0, 'Regime': 21.25, 'News': 0.0, 'Volume': 0.0, 'Momentum': 3.0, 'RSI_Divergence': 0.0}",7.5,15.0,0.0,21.25,0.0,0.0,3.0,0.0
4fd0eeb422a7,SHORT,2026-03-23 05:45:00,2026-03-23 06:00:00,4310.24,4294.79,4368.54,4164.49,69.0051703495059,regime_shifted,1,7.9413,15.45,0.136,58.3,3.442,4.0667,0.0,"{'BOS': 12.75, 'FVG': 13.55, 'OrderBlock': 0.0, 'Regime': 20.054, 'News': 0.0, 'Volume': 0.0, 'Momentum': 1.95, 'RSI_Divergence': 0.0}",12.75,13.55,0.0,20.054,0.0,0.0,1.95,0.0
