signal_id,direction,n_bars,pnl_log,r_multiple,pnl_r,entry_bar,exit_bar
trade_2,LONG,1,0.0005293075920876259,529.307592087626,529.307592087626,2020-05-28 14:45:00,2020-05-28 14:45:00
trade_4,LONG,36,0.0012469899913916788,0.4563290886192358,0.4563290886192358,2020-05-28 15:15:00,2020-05-29 00:00:00
trade_5,SHORT,32,-0.0023812219518320956,-0.935127744349133,-0.935127744349133,2020-05-29 00:15:00,2020-05-29 08:00:00
trade_7,SHORT,3,-0.003156747127477046,-3.68314129245046,-3.68314129245046,2020-05-29 08:30:00,2020-05-29 09:00:00
trade_8,LONG,11,-0.000116739030031614,-0.12593814259976924,-0.12593814259976924,2020-05-29 09:15:00,2020-05-29 11:45:00
trade_9,SHORT,5,0.001955157855667797,1.3762593932446354,1.3762593932446354,2020-05-29 12:00:00,2020-05-29 13:00:00
trade_11,SHORT,9,-0.00042285200809967277,-0.162296316314149,-0.162296316314149,2020-05-29 13:30:00,2020-05-29 15:30:00
trade_13,SHORT,33,-0.0018225392334343259,-0.7308395348771365,-0.7308395348771365,2020-05-29 16:15:00,2020-06-01 00:15:00
trade_15,SHORT,1,0.0003906364055448257,390.6364055448257,390.6364055448257,2020-06-01 07:15:00,2020-06-01 07:15:00
trade_17,SHORT,1,-0.000574215068286981,-574.215068286981,-574.215068286981,2020-06-01 07:45:00,2020-06-01 07:45:00
trade_19,LONG,1,0.0005435405284870468,543.5405284870468,543.5405284870468,2020-06-01 08:15:00,2020-06-01 08:15:00
trade_21,LONG,2,-0.00015715963185184323,-0.27970013736386845,-0.27970013736386845,2020-06-01 08:45:00,2020-06-01 09:00:00
trade_23,SHORT,1,0.00016649529689253604,166.49529689253603,166.49529689253603,2020-06-01 10:30:00,2020-06-01 10:30:00
trade_25,SHORT,2,-0.0001709732431040092,-13.429636041313632,-13.429636041313632,2020-06-01 11:15:00,2020-06-01 11:30:00
trade_27,SHORT,5,0.00029665321457011734,0.17563383510485414,0.17563383510485414,2020-06-01 14:00:00,2020-06-01 15:00:00
trade_29,SHORT,1,0.00014387454164843454,143.87454164843456,143.87454164843456,2020-06-01 15:30:00,2020-06-01 15:30:00
trade_31,LONG,26,0.0001347442556065921,0.11028109064201898,0.11028109064201898,2020-06-01 17:45:00,2020-06-02 00:00:00
trade_33,LONG,1,-3.5969282237034986e-05,-35.96928223703499,-35.96928223703499,2020-06-02 02:15:00,2020-06-02 02:15:00
trade_35,LONG,1,0.0007187974828115701,718.7974828115701,718.7974828115701,2020-06-02 05:00:00,2020-06-02 05:00:00
trade_37,LONG,1,0.0006064431398365018,606.4431398365018,606.4431398365018,2020-06-02 06:30:00,2020-06-02 06:30:00
trade_39,SHORT,1,-4.942720609241156e-05,-49.427206092411566,-49.427206092411566,2020-06-02 07:15:00,2020-06-02 07:15:00
trade_41,LONG,38,0.0005999633038257823,0.1741457436104515,0.1741457436104515,2020-06-02 08:30:00,2020-06-02 17:45:00
trade_43,LONG,22,0.0015119730546356764,0.9702323301441188,0.9702323301441188,2020-06-02 18:15:00,2020-06-02 23:30:00
trade_45,LONG,30,0.0034004682746517105,1.7543915980972282,1.7543915980972282,2020-06-03 00:00:00,2020-06-03 07:15:00
trade_47,LONG,3,0.00036128215413834,0.1520180470290706,0.1520180470290706,2020-06-03 07:45:00,2020-06-03 08:15:00
trade_49,LONG,21,0.00045929140617063816,0.20441952905482377,0.20441952905482377,2020-06-03 08:45:00,2020-06-03 13:45:00
trade_51,LONG,4,0.0014924677713151569,0.8632315286359915,0.8632315286359915,2020-06-03 14:15:00,2020-06-03 15:00:00
trade_53,LONG,1,0.0010543620196399228,1054.362019639923,1054.362019639923,2020-06-03 15:30:00,2020-06-03 15:30:00
trade_55,LONG,84,-0.0007516506646185459,-0.11224961497763135,-0.11224961497763135,2020-06-03 16:00:00,2020-06-04 12:45:00
trade_57,LONG,1,-0.0006922627788392148,-692.2627788392149,-692.2627788392149,2020-06-04 15:00:00,2020-06-04 15:00:00
trade_59,LONG,193,-0.001755297845371631,-0.2192086959542123,-0.2192086959542123,2020-06-04 15:30:00,2020-06-08 15:30:00
trade_61,LONG,1,0.0005800733889046192,580.0733889046193,580.0733889046193,2020-06-08 16:00:00,2020-06-08 16:00:00
trade_63,LONG,3,-0.0007763303919543777,-1.6452282056975025,-1.6452282056975025,2020-06-09 06:45:00,2020-06-09 07:15:00
trade_65,LONG,2,0.0003639979443235493,0.41702461871302593,0.41702461871302593,2020-06-09 09:00:00,2020-06-09 09:15:00
trade_67,LONG,1,-0.00020855011157582,-208.55011157582,-208.55011157582,2020-06-09 09:45:00,2020-06-09 09:45:00
trade_69,LONG,1,-9.757871727220469e-05,-97.5787172722047,-97.5787172722047,2020-06-09 11:15:00,2020-06-09 11:15:00
trade_71,LONG,1,0.0028405784189420454,2840.5784189420456,2840.5784189420456,2020-06-09 13:30:00,2020-06-09 13:30:00
trade_73,LONG,1,-4.407975791591656e-06,-4.407975791591656,-4.407975791591656,2020-06-09 14:15:00,2020-06-09 14:15:00
trade_75,LONG,119,0.001711587067469893,0.24759531102725382,0.24759531102725382,2020-06-09 15:00:00,2020-06-10 20:30:00
trade_77,LONG,1,3.076970415173513e-05,30.769704151735134,30.769704151735134,2020-06-10 21:30:00,2020-06-10 21:30:00
trade_79,LONG,1,0.00010990049620138096,109.90049620138096,109.90049620138096,2020-06-10 22:30:00,2020-06-10 22:30:00
trade_81,LONG,2,-0.0008178305084491786,-7.299348545119563,-7.299348545119563,2020-06-10 23:30:00,2020-06-10 23:45:00
trade_83,SHORT,5,-0.0008129385097231501,-1.1265444178432553,-1.1265444178432553,2020-06-11 00:15:00,2020-06-11 01:15:00
trade_85,SHORT,1,0.00043012263547043567,430.1226354704357,430.1226354704357,2020-06-11 01:45:00,2020-06-11 01:45:00
trade_87,SHORT,3,4.390731166606539e-06,0.00745097475092366,0.00745097475092366,2020-06-11 02:15:00,2020-06-11 02:45:00
trade_89,SHORT,1,0.000966591172074434,966.591172074434,966.591172074434,2020-06-11 03:15:00,2020-06-11 03:15:00
trade_91,SHORT,1,0.0013374455906768202,1337.4455906768203,1337.4455906768203,2020-06-11 03:45:00,2020-06-11 03:45:00
trade_93,SHORT,3,0.0013006970482573477,0.860652327709448,0.860652327709448,2020-06-11 04:30:00,2020-06-11 05:00:00
trade_95,SHORT,7,-0.00117258113501383,-0.7663369086567671,-0.7663369086567671,2020-06-11 05:30:00,2020-06-11 07:00:00
trade_97,SHORT,1,0.0002507726670940702,250.77266709407021,250.77266709407021,2020-06-11 07:30:00,2020-06-11 07:30:00
