signal_id,direction,entry_bar,exit_bar,entry_price,exit_price,stop_loss,take_profit,confluence_score,exit_reason,bars_held,pnl_price,pnl_price_raw,r_multiple,initial_risk,spread_cost,slippage_cost,commission,components,cmp_BOS,cmp_FVG,cmp_OrderBlock,cmp_Regime,cmp_News,cmp_Volume,cmp_Momentum,cmp_RSI_Divergence,cmp_HTF_Alignment
01d11d469002,SHORT,2025-07-30 18:45:00,2025-07-30 19:00:00,3280.23,3275.4400000000005,3291.29,3252.6,61.73440822817752,regime_shifted,1,2.4955,4.79,0.226,11.06,1.6389,0.6556,0.0,"{'BOS': 12.75, 'FVG': 14.964, 'OrderBlock': 0.0, 'Regime': 12.5, 'News': 0.0, 'Volume': 0.0, 'Momentum': 3.0, 'RSI_Divergence': 0.0, 'HTF_Alignment': 0.0}",12.75,14.964,0.0,12.5,0.0,0.0,3.0,0.0,0.0
938a4648c050,LONG,2025-10-06 02:00:00,2025-10-06 03:45:00,3923.89,3929.68,3910.16,3958.24,61.12002336001058,time_expired,7,1.8632,5.79,0.136,13.73,3.1414,0.7854,0.0,"{'BOS': 12.75, 'FVG': 14.534, 'OrderBlock': 0.0, 'Regime': 12.5, 'News': 0.0, 'Volume': 0.0, 'Momentum': 3.0, 'RSI_Divergence': 0.0, 'HTF_Alignment': 0.0}",12.75,14.534,0.0,12.5,0.0,0.0,3.0,0.0,0.0
863e8cd271dd,SHORT,2025-10-21 13:45:00,2025-10-21 14:00:00,4173.38,4181.8835,4211.5,4078.06,60.012845278199684,regime_shifted,1,-11.8506,-8.5035,-0.311,38.12,1.2533,2.0938,0.0,"{'BOS': 12.75, 'FVG': 0.0, 'OrderBlock': 10.0, 'Regime': 16.259, 'News': 0.0, 'Volume': 0.0, 'Momentum': 3.0, 'RSI_Divergence': 0.0, 'HTF_Alignment': 0.0}",12.75,0.0,10.0,16.259,0.0,0.0,3.0,0.0,0.0
e61a4704c03e,SHORT,2025-10-22 00:00:00,2025-10-22 00:15:00,4036.63,4049.0985,4076.49,3937.0,63.782450738528304,regime_shifted,1,-17.8378,-12.4685,-0.448,39.86,3.2343,2.1351,0.0,"{'BOS': 12.75, 'FVG': 15.0, 'OrderBlock': 0.0, 'Regime': 13.898, 'News': 0.0, 'Volume': 0.0, 'Momentum': 3.0, 'RSI_Divergence': 0.0, 'HTF_Alignment': 0.0}",12.75,15.0,0.0,13.898,0.0,0.0,3.0,0.0,0.0
1487179c555a,LONG,2025-12-25 23:15:00,2025-12-25 23:30:00,4497.94,4496.215,4480.01,4542.76,60.77228829699293,score_decayed,1,-6.3785,-1.725,-0.356,17.93,3.5977,1.0559,0.0,"{'BOS': 15.0, 'FVG': 11.807, 'OrderBlock': 10.0, 'Regime': 3.0, 'News': 0.0, 'Volume': 0.0, 'Momentum': 2.734, 'RSI_Divergence': 0.0, 'HTF_Alignment': 0.0}",15.0,11.807,10.0,3.0,0.0,0.0,2.734,0.0,0.0
c0fb40cdead2,SHORT,2026-01-21 19:30:00,2026-01-21 19:45:00,4765.9,4781.445,4806.93,4663.33,61.785714285714285,regime_shifted,1,-20.5185,-15.545,-0.5,41.03,2.3868,2.5867,0.0,"{'BOS': 12.75, 'FVG': 15.0, 'OrderBlock': 0.0, 'Regime': 12.5, 'News': 0.0, 'Volume': 0.0, 'Momentum': 3.0, 'RSI_Divergence': 0.0, 'HTF_Alignment': 0.0}",12.75,15.0,0.0,12.5,0.0,0.0,3.0,0.0,0.0
3aa678432cf6,LONG,2026-01-25 23:00:00,2026-01-25 23:15:00,5021.88,5018.875,4997.97,5081.66,61.785714285714285,regime_shifted,1,-8.6199,-3.005,-0.361,23.91,4.0163,1.5986,0.0,"{'BOS': 12.75, 'FVG': 15.0, 'OrderBlock': 0.0, 'Regime': 12.5, 'News': 0.0, 'Volume': 0.0, 'Momentum': 3.0, 'RSI_Divergence': 0.0, 'HTF_Alignment': 0.0}",12.75,15.0,0.0,12.5,0.0,0.0,3.0,0.0,0.0
8fedb912f354,SHORT,2026-01-29 15:15:00,2026-01-29 15:30:00,5190.69,5121.6025,5291.73,4938.07,65.0,regime_shifted,1,60.2487,69.0875,0.596,101.04,1.5468,7.2919,0.0,"{'BOS': 15.0, 'FVG': 15.0, 'OrderBlock': 0.0, 'Regime': 12.5, 'News': 0.0, 'Volume': 0.0, 'Momentum': 3.0, 'RSI_Divergence': 0.0, 'HTF_Alignment': 0.0}",15.0,15.0,0.0,12.5,0.0,0.0,3.0,0.0,0.0
1a1b4679e1ec,SHORT,2026-01-30 08:30:00,2026-01-30 08:45:00,5096.65,5117.413500000001,5187.59,4869.32,61.888404523323516,regime_shifted,1,-28.3176,-20.7635,-0.311,90.94,1.5321,6.022,0.0,"{'BOS': 12.75, 'FVG': 0.0, 'OrderBlock': 8.274, 'Regime': 19.404, 'News': 0.0, 'Volume': 0.0, 'Momentum': 2.894, 'RSI_Divergence': 0.0, 'HTF_Alignment': 0.0}",12.75,0.0,8.274,19.404,0.0,0.0,2.894,0.0,0.0
d8a0d9365fd9,SHORT,2026-02-01 23:00:00,2026-02-01 23:15:00,4742.87,4729.958500000001,4868.42,4429.0,67.00409835015458,regime_shifted,1,1.4092,12.9115,0.011,125.55,3.7891,7.7131,0.0,"{'BOS': 7.5, 'FVG': 8.925, 'OrderBlock': 6.326, 'Regime': 21.25, 'News': 0.0, 'Volume': 0.0, 'Momentum': 2.901, 'RSI_Divergence': 0.0, 'HTF_Alignment': 0.0}",7.5,8.925,6.326,21.25,0.0,0.0,2.901,0.0,0.0
