component,n_on,n_off,edge_R,ci_lo,ci_hi,p_boot,p_welch,holm_alpha,reject_holm,bonf_alpha,reject_bonf
c_fvg,1901,462,0.027352106774516025,-0.038205572169808105,0.0927423537623169,0.414,0.42054765553183904,0.0071428571428571435,False,0.0071428571428571435,False
c_rsi_div,807,1556,-0.020273069351401447,-0.07601374747947746,0.03575573906658632,0.4912,0.4767863279101906,0.008333333333333333,False,0.0071428571428571435,False
c_choch,995,1368,-0.017889281935995763,-0.07395063807708133,0.03714756801184273,0.5044,0.5228621605572916,0.01,False,0.0071428571428571435,False
c_retest,2186,177,0.022000953680586778,-0.08282522943900839,0.12569412620631545,0.6744,0.67912519099374,0.0125,False,0.0071428571428571435,False
c_regime,1671,692,0.01205760542819882,-0.04579939721031676,0.0692910538452624,0.6944,0.685901833184247,0.016666666666666666,False,0.0071428571428571435,False
c_bos,2270,93,0.01469892946804982,-0.1204725045000237,0.14720318720098519,0.8048,0.830337608053091,0.025,False,0.0071428571428571435,False
c_ob,2308,55,-0.006325531747282186,-0.21027492063179457,0.19185388589097177,0.9796,0.95115987204536,0.05,False,0.0071428571428571435,False
