signal_id,direction,entry_bar,exit_bar,entry_price,exit_price,stop_loss,take_profit,confluence_score,exit_reason,bars_held,pnl_price,pnl_price_raw,r_multiple,initial_risk,spread_cost,slippage_cost,commission
07ce13bd76d7,LONG,2024-11-03 22:00:00,2024-11-03 22:45:00,1.08793,1.08814,1.08669,1.09039,55.51130541712778,score_decayed,3,-0.0009,0.0002,-0.74,0.0012,0.0009,0.0003,0.0
f55cbe2720e3,SHORT,2025-04-06 21:00:00,2025-04-06 21:15:00,1.08839,1.089095,1.09214,1.0809,74.96502083578213,regime_shifted,1,-0.0024,-0.0007,-0.637,0.0038,0.0009,0.0008,0.0
992cb816882c,LONG,2025-04-09 04:15:00,2025-04-09 04:30:00,1.10618,1.105835,1.10388,1.11079,61.785714285714285,regime_shifted,1,-0.0017,-0.0003,-0.761,0.0023,0.0009,0.0005,0.0
0f8b15677f91,LONG,2025-04-21 07:30:00,2025-04-21 08:00:00,1.15393,1.15435,1.15215,1.1575,55.56155129552381,score_decayed,2,-0.0007,0.0004,-0.375,0.0018,0.0006,0.0005,0.0
3e400c8b5d6a,SHORT,2025-05-12 10:30:00,2025-05-12 10:45:00,1.10749,1.1079750000000002,1.11012,1.10225,55.48963623653916,regime_shifted,1,-0.0014,-0.0005,-0.535,0.0026,0.0003,0.0006,0.0
e99e713a7efb,SHORT,2025-07-30 18:45:00,2025-07-30 19:15:00,1.14244,1.1417800000000002,1.14447,1.13837,61.27984236291525,score_decayed,2,-0.0004,0.0007,-0.196,0.002,0.0006,0.0005,0.0
e20cc92e1e0c,SHORT,2025-09-02 12:30:00,2025-09-02 13:00:00,1.16194,1.16362,1.16362,1.15856,58.74253898645836,invalidated,2,-0.0024,-0.0017,-1.453,0.0017,0.0003,0.0004,0.0
